sample-id,Sample.ID,Nest,Chamber_Iden,sample.ID.on.tube,input_reads,filtered_reads,Control_Sample1,Samples,Sample_Type,Fig4_Sample,Depth,shannon,pielou_evenness,faith_pd,observed_otus,Chamber.Type.simple
B-I3,Banana I3,Banana,I3,B I3,8926,8144,sample,ants,ants,ants,32,0.936322686,0.184045115,7.345960027,34,brood
B-J3,Banana J3,Banana,J3,B J3,39612,36741,sample,ants,ants,ants,20,0.505362621,0.093132688,9.102190567,43,brood
B-K4,Banana K4,Banana,K4,B K4,39311,36358,sample,ants,ants,ants,12,0.219081542,0.049127683,5.317674642,22,brood/seeds
B-L3,Banana L3,Banana,L3,B L3,38006,34615,sample,ants,ants,ants,14,0.475167328,0.108181464,6.027551751,21,brood
B-L4,Banana L4,Banana,L4,B L4,30625,28435,sample,ants,ants,ants,14,0.402034317,0.073205585,8.894463224,45,brood
C-A1,Carrot A1,Carrot,A1,C A1,34215,30962,sample,ants,ants,ants,40,1.243390352,0.292705172,4.226874169,19,ants
C-B1,Carrot B1,Carrot,B1,C B1,47304,42708,sample,ants,ants,ants,30,0.778052128,0.217032152,3.726454761,12,ants
C-C2,Carrot C2,Carrot,C2,C C2,45538,41042,sample,ants,ants,ants,38,0.988628265,0.297606762,3.487802728,10,seeds
C-D2,Carrot D2,Carrot,D2,C D2,46660,42403,sample,ants,ants,ants,22,1.030106297,0.343368766,3.375091786,8,seeds
C-E2,Carrot E2,Carrot,E2,C E2,40899,36850,sample,ants,ants,ants,34,1.701659606,0.408079187,4.136688494,18,empty
C-F5,Carrot F5,Carrot,F5,C F5,61661,55780,sample,ants,ants,ants,36,1.265862201,0.365916237,3.447062943,11,brood/reproductive
C-G1,Carrot G1,Carrot,G1,C G1,56095,50331,sample,ants,ants,ants,26,1.072976991,0.322998259,3.500003589,10,ants
C-I3,Carrot I3,Carrot,I3,C I3,56788,50928,sample,ants,ants,ants,26,0.944053513,0.336278646,3.123745763,7,seeds
DC-B2,DC B2,DC,B2,DC B2,15279,13186,sample,ants,ants,ants,28,0.689379061,0.21747488,3.022140991,9,empty
DC-C1,DC C1,DC,C1,DC C1,47723,44589,sample,ants,ants,ants,30,0.102719841,0.036589546,3.184388291,7,ants
DC-D1,DC D1,DC,D1,DC D1,40572,37133,sample,ants,ants,ants,25,1.254887186,0.362743747,3.596568043,11,ants
DC-G2,DC G2,DC,G2,DC G2,41845,37901,sample,ants,ants,ants,13,1.006077146,0.634764005,2.617053244,3,seeds
DC-H1,DC H1,DC,H1,DC H1,38180,34915,sample,ants,ants,ants,30,1.120732809,0.433558633,3.005529881,6,ants
DC-I1,DC I1,DC,I1,DC I1,48460,41843,sample,ants,ants,ants,24,1.096711383,0.258175635,6.899839742,19,ants
DC-J1,DC J1,DC,J1,DC J1,31856,28869,sample,ants,ants,ants,19,0.816762092,0.351760286,3.023700769,5,ants
DC-K1,DC K1,DC,K1,DC K1,32499,29668,sample,ants,ants,ants,18,1.599441457,0.26968678,8.751705747,61,ants
DC-L1,DC L1,DC,L1,DC L1,49490,46037,sample,ants,ants,ants,14,0.057439212,0.016603656,3.530837746,11,ants
DC-M2,DC M2,DC,M2,DC M2,32215,29916,sample,ants,ants,ants,36,0.714313169,0.135148308,7.108206531,39,seeds
DC-N1,DC N1,DC,N1,DC N1,49314,45122,sample,ants,ants,ants,53,0.217487933,0.093666954,3.042250674,5,ants
DC-O3,DC O3,DC,O3,DC O3,47257,44090,sample,ants,ants,ants,39,0.171389791,0.04954276,4.237108407,11,brood/reproductive
DC-P2,DC P2,DC,P2,DC P2,38310,34447,sample,ants,ants,ants,49,0.385331265,0.115996269,3.537116277,10,brood
DC-Q3,DC Q3,DC,Q3,DC Q3,45174,40859,sample,ants,ants,ants,49,0.980763406,0.618792814,2.611493848,3,brood/reproductive
DC-R3,DC R3,DC,R3,DC R3,40633,35854,sample,ants,ants,ants,44,0.824074965,0.293541425,3.205469759,7,brood/reproductive
E-A1,Eggplant A1,Eggplant,A1,E A1,31143,28102,sample,ants,ants,ants,30,0.712390925,0.449468631,2.74856671,3,ants
E-B1,Eggplant B1,Eggplant,B1,E B1,42485,39335,sample,ants,ants,ants,29,0.323896049,0.07767431,4.002727167,18,ants
E-C1,Eggplant C1,Eggplant,C1,E C1,26313,24480,sample,ants,ants,ants,25,0.700287498,0.150798705,5.220222959,25,ants
E-F1,Eggplant F1,Eggplant,F1,E F1,41553,36833,sample,ants,ants,ants,46,0.355477877,0.153095989,2.954318237,5,ants
E-G1,Eggplant G1,Eggplant,G1,E G1,41100,36482,sample,ants,ants,ants,50,0.328642532,0.207350352,2.620884994,3,ants
E-H1,Eggplant H1,Eggplant,H1,E H1,31315,28717,sample,ants,ants,ants,23,1.336957965,0.843526559,2.620884994,3,ants
E-I2,Eggplant I2,Eggplant,I2,E I2,35442,32361,sample,ants,ants,ants,12,0.733934644,0.316088446,3.01319322,5,seeds
E-J1,Eggplant J1,Eggplant,J1,E J1,31049,27582,sample,ants,ants,ants,27,0.689306679,0.344653339,2.914273622,4,ants
E-K1,Eggplant K1,Eggplant,K1,E K1,34031,30504,sample,ants,ants,ants,13,0.036580792,0.036580792,2.474367543,2,ants
E-L2,Eggplant L2,Eggplant,L2,E L2,19865,18009,sample,ants,ants,ants,15,0.293470511,0.12639087,3.005236442,5,brood
B-D2,Banana D2,Banana,D2,B D2,11800,10628,sample,brood,brood,brood,35,5.2321409,0.748658887,14.3172689,127,brood/reproductive
B-E1,Banana E1,Banana,E1,B E1,11335,9859,sample,brood,brood,brood,34,4.800223719,0.651644549,16.89398641,165,ants
B-I1,Banana I1,Banana,I1,B I1,11704,8456,sample,brood,brood,brood,32,4.799381784,0.722378939,10.55120396,100,brood
B-J1,Banana J1,Banana,J1,B J1,8618,7551,sample,brood,brood,brood,20,6.91566039,0.888000375,23.42829057,221,brood
B-K1,Banana K1,Banana,K1,B K1,15774,13307,sample,brood,brood,brood,12,5.36015599,0.723427342,17.29374726,170,brood/seeds
