id,Nest,Chamber-ID,Chamber_Iden,sample ID on tube,input_reads,filtered_reads,Control_Sample,Samples,Sample_Type,Sample_Type2,Nest_Sample,Nest_Control,Depth_categorical,depth_nest,depth_categorical,depth_continous,sample_depth,chamberid_depth,samples_good,shannon,pielou_evenness,faith_pd,observed_otus,simpson,chao1,,nest
B-D3,Banana,D,D3,B D3,9588,8349,sample,soil,soil,soil,Banana_soil,Banana_sample,medium,Banana_35,35,0.583333333,soil35,D_35,soil,6.32646421,0.877523425,14.13930078,148,0.977275193,149.25,,35
B-D4,Banana,D,D4,B D4,11232,9503,control,control near,control,soil,Banana_control,Banana_control,medium,Banana_35,35,0.583333333,control near35,D_35,control,6.707110832,0.892413345,16.90914506,183,0.982652,186.1111111,,35
B-D6,Banana,D,D6,B D6,37233,31611,sample,reproductives,reproductives,ants,Banana_reproductives,Banana_sample,medium,Banana_35,35,0.583333333,reproductives35,D_35,reproductives,4.147621252,0.659881597,12.57879322,78,0.872969163,78.16666667,,35
B-D7,Banana,D,D7,B D7,10198,9107,control,control far,control,soil,Banana_control,Banana_control,medium,Banana_35,35,0.583333333,control far35,D_35,control,6.809893096,0.899606736,16.76792023,190,0.984045286,195.1428571,,35
B-E1,Banana,E,E1,B E1,11335,9859,sample,brood,brood,ants,Banana_brood,Banana_sample,medium,Banana_34,34,0.566666667,brood34,E_34,brood,4.800223719,0.651644549,16.89398641,165,0.865559953,169.0909091,,34
B-E2,Banana,E,E2,B E2,32961,30738,sample,ants,ants,ants,Banana_ants,Banana_sample,medium,Banana_34,34,0.566666667,ants34,E_34,ants,0.320322107,0.071830254,5.801328283,22,0.062441921,32.5,,34
B-E3,Banana,E,E3,B E3,7686,6716,sample,soil,soil,soil,Banana_soil,Banana_sample,medium,Banana_34,34,0.566666667,soil34,E_34,soil,6.35115662,0.884573403,14.52525578,145,0.978359691,145.5,,34
B-E4,Banana,E,E4,B E4,8427,7504,control,control near,control,soil,Banana_control,Banana_control,medium,Banana_34,34,0.566666667,control near34,E_34,control,6.29517072,0.862988075,15.3308171,157,0.969866594,159.3333333,,34
B-E5,Banana,E,E5,B E5,10400,9243,control,control far,control,soil,Banana_control,Banana_control,medium,Banana_34,34,0.566666667,control far34,E_34,control,6.958463125,0.907783194,16.36314875,203,0.987044233,204.75,,34
B-F1,Banana,F,F1,B F1,135125,123424,sample,ants,ants,ants,Banana_ants,Banana_sample,high,Banana_24,24,0.4,ants24,F_24,ants,0.455747551,0.082986115,7.275186697,45,0.083218054,87,,24
B-F2,Banana,F,F2,B F2,9750,8594,sample,soil,soil,soil,Banana_soil,Banana_sample,high,Banana_24,24,0.4,soil24,F_24,soil,5.800843969,0.82736499,13.01546293,129,0.960652484,130.25,,24
B-F3,Banana,F,F3,B F3,8455,7345,control,control near,control,soil,Banana_control,Banana_control,high,Banana_24,24,0.4,control near24,F_24,control,6.662896261,0.897206938,16.88185267,172,0.982161699,172.375,,24
B-F4,Banana,F,F4,B F4,10326,9302,control,control far,control,soil,Banana_control,Banana_control,high,Banana_24,24,0.4,control far24,F_24,control,6.91719472,0.904935225,18.72385158,200,0.986672955,204.1363636,,24
B-H1,Banana,H,H1,B H1,20400,18727,sample,seeds,seeds,seeds,Banana_seeds,Banana_sample,high,Banana_26,26,0.433333333,seeds26,H_26,seeds,1.102682364,0.275670591,4.320423548,16,0.440782849,16.33333333,,26
B-H2,Banana,H,H2,B H2,6013,5333,sample,soil,soil,soil,Banana_soil,Banana_sample,high,Banana_26,26,0.433333333,soil26,H_26,soil,6.101747482,0.884975889,12.84567288,119,0.977277026,119,,26
B-H3,Banana,H,H3,B H3,7590,6765,control,control near,control,soil,Banana_control,Banana_control,high,Banana_26,26,0.433333333,control near26,H_26,control,6.630141079,0.910058344,15.00225277,156,0.983495702,157.1111111,,26
B-H4,Banana,H,H4,B H4,17365,15763,sample,ants,ants,ants,Banana_ants,Banana_sample,high,Banana_26,26,0.433333333,ants26,H_26,ants,2.687369556,0.444605283,9.737013128,66,0.608510638,68.33333333,,26
B-H5,Banana,H,H5,B H5,6614,5933,control,control far,control,soil,Banana_control,Banana_control,high,Banana_26,26,0.433333333,control far26,H_26,control,6.574638594,0.908299388,14.0736592,151,0.984161558,151.125,,26
B-I1,Banana,I,I1,B I1,11704,8456,sample,brood,brood,ants,Banana_brood,Banana_sample,medium,Banana_32,32,0.533333333,brood32,I_32,brood,4.799381784,0.722378939,10.55120396,100,0.915038162,100.8333333,,32
B-I2,Banana,I,I2,B I2,13167,7110,sample,reproductives,reproductives,ants,Banana_reproductives,Banana_sample,medium,Banana_32,32,0.533333333,reproductives32,I_32,reproductives,5.366384557,0.851296194,16.23480903,79,0.954877355,79,,32
B-I3,Banana,I,I3,B I3,8926,8144,sample,ants,ants,ants,Banana_ants,Banana_sample,medium,Banana_32,32,0.533333333,ants32,I_32,ants,0.936322686,0.184045115,7.345960027,34,0.193946581,34,,32
B-I4,Banana,I,I4,B I4,19516,16975,sample,soil,soil,soil,Banana_soil,Banana_sample,medium,Banana_32,32,0.533333333,soil32,I_32,soil,7.112091633,0.883506266,21.41766573,265,0.986361877,279.1304348,,32
B-I5,Banana,I,I5,B I5,8839,7383,control,control near,control,soil,Banana_control,Banana_control,medium,Banana_32,32,0.533333333,control near32,I_32,control,6.386438897,0.884650203,15.28984834,149,0.977404452,151.5,,32
B-I6,Banana,I,I6,B I6,9677,8077,control,control far,control,soil,Banana_control,Banana_control,medium,Banana_32,32,0.533333333,control far32,I_32,control,6.32394793,0.888327051,14.38947548,139,0.979242813,139.75,,32
B-J1,Banana,J,J1,B J1,8618,7551,sample,brood,brood,ants,Banana_brood,Banana_sample,high,Banana_20,20,0.333333333,brood20,J_20,brood,6.91566039,0.888000375,23.42829057,221,0.984485013,221.1764706,,20
B-J2,Banana,J,J2,B J2,27857,24752,sample,reproductives,reproductives,ants,Banana_reproductives,Banana_sample,high,Banana_20,20,0.333333333,reproductives20,J_20,reproductives,7.09630742,0.931023245,18.93072239,197,0.985965999,198,,20
